SampleID	replicate	sludge_source	substrate	condition	time	tot_biomass _gVSS	PHA_content_gPHA_gVSS	active_biomass_g	dan_conc_ng_uL	qPCR_copies_duplo_mean	df_dna_extract 	df_qPCR	dna_template_volume_uL	dna_ng	copies_ng_dna	sample_for_DNA_ext_mL	final_elut_uL	tot_DNA_conc_in_sampl_ng_mL	10^10copies_mL_samples	PHA_Biomass	copies_mL_samples	log10_copies_mL_samples	Column1
YXIN01	1	Bath	butyrate	Low_N	0h	1.71	0.02	1.67	41.2	13881558.56	10	10	2	8.24	8423275.82	0.25	100	16480	6.94	0.0342	69407792757	10.84140823	0.114
YXIN02	1	Bath	butyrate	Low_N	24h	4.9	0.5	2.57	41	14602940.7	10	10	2	8.2	8904232.13	0.25	100	16400	7.30	2.45	73014703466	10.86341033	0.326666667
YXIN03	1	Bath	butyrate	Low_N	48h	5.29	0.54	2.75	43.1	15352779.97	10	10	2	8.62	8905324.81	0.25	100	17240	7.68	2.8566	76763899862	10.88515703	0.352666667
YXIN04	1	Bath	butyrate	High_N	0h	1.76	0.03	1.71	39.6	11353845.2	10	10	2	7.92	7167831.57	0.25	100	15840	5.68E+00	0.0528	56769226034	10.75411297	0.117333333
YXIN05	1	Bath	butyrate	High_N	24h	6.52	0.51	3.27	29.4	8413793.71	10	10	2	5.88	7154586.49	0.25	100	11760	4.21E+00	3.3252	42068968561	10.62396186	0.434666667
YXIN06	1	Bath	butyrate	High_N	48h	7.69	0.58	3.44	57.8	15202712.7	10	10	2	11.56	6575567.78	0.25	100	23120	7.60E+00	4.4602	76013563537	10.88089109	0.512666667
YXIN07	2	Bath	acetate	Low_N	0h	2.23	0.03	2.16	35.3	10206194.49	10	10	2	7.06	7228183.07	0.25	100	14120	5.10	0.0669	51030972474	10.70783384	0.148666667
YXIN08	2	Bath	acetate	Low_N	24h	3.46	0.35	2.29	55.3	17873942.08	10	10	2	11.06	8080443.98	0.25	100	22120	8.94	1.211	89369710419	10.95119035	0.230666667
YXIN09	2	Bath	acetate	Low_N	48h	3.58	0.37	2.31	30.2	9369534.11	10	10	2	6.04	7756236.85	0.25	100	12080	4.68	1.3246	46847670574	10.670688	0.238666667
YXIN10	2	Bath	butyrate	Low_N	0h	2.29	0.03	2.21	27.9	9320637.82	10	10	2	5.58	8351826.01	0.25	100	11160	4.66	0.0687	46603189136	10.66841564	0.152666667
YXIN11	2	Bath	butyrate	Low_N	24h	7.32	0.56	3.33	54.2	15455125.83	10	10	2	10.84	7128748.07	0.25	100	21680	7.73	4.0992	77275629079	10.88804255	0.488
YXIN12	2	Bath	butyrate	Low_N	48h	9.79	0.58	4.23	73.4	12399049.46	10	10	2	14.68	4223109.49	0.25	100	29360	6.20	5.6782	61995247313	10.7923584	0.652666667
YXIN13	1	Almere	acetate	Low_N	0h	3.07	0.03	3.03	60.4	13421808.86	10	10	2	12.08	5555384.46	0.25	100	24160	6.71	0.0921	67109044277	10.82678105	0.204666667
YXIN14	1	Almere	acetate	Low_N	24h	4.85	0.21	3.11	115.2	35076391.68	10	10	2	23.04	7612064.17	0.25	100	46080	17.54	1.0185	1.75382E+11	11.24398492	0.323333333
YXIN15	1	Almere	acetate	Low_N	48h	5.78	0.18	3.31	61.4	18082540.59	10	10	2	12.28	7362597.96	0.25	100	24560	9.04	1.0404	90412702949	10.95622945	0.385333333
YXIN16	1	Almere	butyrate	Low_N	0h	3.54	0.02	3.43	67.2	16055245.32	10	10	2	13.44	5972933.53	0.25	100	26880	8.03	0.0708	80276226643	10.90458695	0.236
YXIN17	1	Almere	butyrate	Low_N	24h	6.53	0.27	4.65	59.7	11339962.06	10	10	2	11.94	4748727.83	0.25	100	23880	5.67	1.7631	56699810290	10.75358161	0.435333333
YXIN18	1	Almere	butyrate	Low_N	48h	7.8	0.35	4.99	59.1	10994435.39	10	10	2	11.82	4650776.39	0.25	100	23640	5.50	2.73	54972176930	10.74014294	0.52
YXIN19	1	Bath	acetate	Low_N	0h	1.8	0.02	1.8	34.6	7000848.78	10	10	2	6.92	5058416.75	0.25	100	13840	3.50	0.036	35004243910	10.5441207	0.12
YXIN20	1	Bath	acetate	Low_N	24h	3.23	0.4	1.92	30.9	7650617.38	10	10	2	6.18	6189819.88	0.25	100	12360	3.83	1.292	38253086858	10.58266649	0.215333333
YXIN21	1	Bath	acetate	Low_N	48h	3.41	0.44	2.01	46.5	12312821.52	10	10	2	9.3	6619796.52	0.25	100	18600	6.16	1.5004	61564107636	10.78932759	0.227333333
YXIN22	2	Almere	acetate	Low_N	0h	3.3	0.01	3.21	19.9	4416277.58	10	10	2	3.98	5548087.41	0.25	100	7960	2.21	0.033	22081387892	10.34402637	0.22
YXIN23	2	Almere	acetate	Low_N	24h	4.58	0.14	3.29	27	7313011.58	10	10	2	5.4	6771307.02	0.25	100	10800	3.66	0.6412	36565057908	10.56306627	0.305333333
YXIN24	2	Almere	acetate	Low_N	48h	5.74	0.16	3.43	20.7	4632947.16	10	10	2	4.14	5595346.81	0.25	100	8280	2.32	0.9184	23164735793	10.36482735	0.382666667
YXIN25	1	Almere	butyrate	High_N	0h	3.39	0.02	3.3	26	4695964.27	10	10	2	5.2	4515350.26	0.25	100	10400	2.35E+00	0.0678	23479821352	10.37069479	0.226
YXIN26	1	Almere	butyrate	High_N	24h	7.42	0.22	5.63	45.7	14280125.23	10	10	2	9.14	7811884.7	0.25	100	18280	7.14E+00	1.6324	71400626158	10.85370202	0.494666667
YXIN27	1	Almere	butyrate	High_N	48h	8.61	0.24	6.42	57.1	22230235.09	10	10	2	11.42	9733027.62	0.25	100	22840	1.11E+01	2.0664	1.11151E+11	11.04591406	0.574
YXIN28	2	Almere	butyrate	Low_N	0h	3.42	0.02	3.23	20.5	5282743.46	10	10	2	4.1	6442370.07	0.25	100	8200	2.64	0.0684	26413717287	10.42182953	0.228
YXIN29	2	Almere	butyrate	Low_N	24h	6.3	0.28	4.5	45.6	9854356.38	10	10	2	9.12	5402607.66	0.25	100	18240	4.93	1.764	49271781859	10.69259827	0.42
YXIN30	2	Almere	butyrate	Low_N	48h	7.9	0.33	4.94	45.9	16505843.42	10	10	2	9.18	8990110.8	0.25	100	18360	8.25	2.607	82529217144	10.91660773	0.526666667
