Genus	PhaC_gene
Abyssibius	YES
Accumulibacter	YES
Achromobacter	YES
Acidiphilium	YES
Acidocella	YES
Acidovorax	YES
Acinetobacter	YES
Actibacterium	YES
Actimicrobium	YES
Actinokineospora	YES
Actinomadura	YES
Actinomycetospora	YES
Acuticoccus	YES
Advenella	YES
Aeoliella	YES
Aeromicrobium	YES
Aeromonas	YES
Aerophototrophica	YES
Aerosticca	YES
Aestuarium	YES
Afipia	YES
Agrilutibacter	YES
Agrobacterium	YES
Ahniella	YES
Ahrensia	YES
Alcaligenes	YES
Alcanivorax	YES
Algicella	YES
Algihabitans	YES
Algimonas	YES
Algirhabdus	YES
Alicycliphilus	YES
Aliiroseovarius	YES
Aliisedimentitalea	YES
Alkalihalobacillus	YES
Alkalihalophilus	YES
Alkalilimnicola	YES
Alkalimarinus	YES
Alloactinosynnema	YES
Alloalcanivorax	YES
Allobranchiibius	YES
Allochromatium	YES
Allorhizobium	YES
Alloyangia	YES
Altererythrobacter	YES
Alteriqipengyuania	YES
Alterisphingorhabdus	YES
Alteromonas	YES
Aminipila	YES
Aminobacter	YES
Ammonicoccus	YES
Amphritea	YES
Amycolatopsis	YES
Amylibacter	YES
Anaerobacillus	YES
Anaerococcus	YES
Ancylobacter	YES
Andeanibacterium	YES
Aneurinibacillus	YES
Anoxybacillus	YES
Antarcticirhabdus	YES
Antarctobacter	YES
Aphanizomenon	YES
Aquabacter	YES
Aquabacterium	YES
Aquaspirillum	YES
Aquella	YES
Aquibium	YES
Aquicella	YES
Aquidulcibacter	YES
Aquincola	YES
Aquipseudomonas	YES
Aquirhabdus	YES
Aquisalimonas	YES
Aquisphaera	YES
Aquitalea	YES
Archangium	YES
Aromatoleum	YES
Arthrobacter	YES
Arthrospira	YES
Asticcacaulis	YES
Aurantiacibacter	YES
Aurantimonas	YES
Aureimonas	YES
Austwickia	YES
Azoarcus	YES
Azonexus	YES
Azorhizobium	YES
Azospira	YES
Azospirillum	YES
Azotobacter	YES
Bacillus	YES
Bacterioplanes	YES
Bacterioplanoides	YES
Baekduia	YES
Barrientosiimonas	YES
Beggiatoa	YES
Beijerinckia	YES
Bernardetia	YES
Billgrantia	YES
Blastochloris	YES
Blastococcus	YES
Blastomonas	YES
Bodocaedibacter	YES
Bordetella	YES
Bosea	YES
Boseongicola	YES
Bradyrhizobium	YES
Breoghania	YES
Brevibacillus	YES
Brevundimonas	YES
Brumicola	YES
Burkholderia	YES
Bythopirellula	YES
Caballeronia	YES
Caenibius	YES
Caldichromatium	YES
Caldimonas	YES
Castellaniella	YES
Caulobacter	YES
Celeribacter	YES
Cereibacter	YES
Chelativorans	YES
Chelatococcus	YES
Chitinibacter	YES
Chitinimonas	YES
Chitiniphilus	YES
Chloracidobacterium	YES
Chloroflexus	YES
Chlorohelix	YES
Chondromyces	YES
Chromobacterium	YES
Chromohalobacter	YES
Citromicrobium	YES
Cobetia	YES
Cognatishimia	YES
Collimonas	YES
Colwellia	YES
Comamonas	YES
Conexibacter	YES
Corallococcus	YES
Corynebacterium	YES
Crassaminicella	YES
Crenobacter	YES
Croceibacterium	YES
Croceicoccus	YES
Cupriavidus	YES
Cyanothece	YES
Cycloclasticus	YES
Cytobacillus	YES
Dechloromonas	YES
Deefgea	YES
Defluviicoccus	YES
Delftia	YES
Denitratisoma	YES
Desulfobacillus	YES
Desulfobacula	YES
Desulfococcus	YES
Desulfoluna	YES
Desulfomonile	YES
Desulfonema	YES
Desulforapulum	YES
Desulfosarcina	YES
Desulfoscipio	YES
Diaphorobacter	YES
Dinoroseobacter	YES
Dokdonella	YES
Duganella	YES
Dyella	YES
Ectobacillus	YES
Ectopseudomonas	YES
Ectothiorhodospira	YES
Eleftheria	YES
Elioraea	YES
Endozoicomonas	YES
Ensifer	YES
Enterovibrio	YES
Entomomonas	YES
Ephemeroptericola	YES
Epidermidibacterium	YES
Erythrobacter	YES
Evansella	YES
Falsihalocynthiibacter	YES
Ferribacterium	YES
Ferrimonas	YES
Ferrovibrio	YES
Filifactor	YES
Filomicrobium	YES
Flagellatimonas	YES
Fluviibacter	YES
Fokinia	YES
Fontisubflavum	YES
Frateuria	YES
Fretibacter	YES
Frigidibacter	YES
Fuscovulum	YES
Gemmobacter	YES
Geodermatophilus	YES
Georhizobium	YES
Gimibacter	YES
Glaciimonas	YES
Gloeocapsa	YES
Gloeothece	YES
Gluconacetobacter	YES
Glycocaulis	YES
Gordonia	YES
Gottfriedia	YES
Granulibacter	YES
Granulosicoccus	YES
Grimontia	YES
Gymnodinialimonas	YES
Haematobacter	YES
Haematospirillum	YES
Hahella	YES
Halalkalibacter	YES
Halioglobus	YES
Halioxenophilus	YES
Halomonas	YES
Halopseudomonas	YES
Halorhodospira	YES
Hankyongella	YES
Hartmannibacter	YES
Heliorestis	YES
Herbaspirillum	YES
Herminiimonas	YES
Heyndrickxia	YES
Hirschia	YES
Hoeflea	YES
Hoyosella	YES
Hydrocarboniclastica	YES
Hydrogenophaga	YES
Hydrogenophilus	YES
Hylemonella	YES
Hypericibacter	YES
Hyphobacterium	YES
Hyphococcus	YES
Hyphomicrobium	YES
Hyphomonas	YES
Ideonella	YES
Ignavigranum	YES
Immundisolibacter	YES
Iodobacter	YES
Isoalcanivorax	YES
Janibacter	YES
Jannaschia	YES
Janthinobacterium	YES
Jeongeupia	YES
Kaistia	YES
Kaustia	YES
Kerstersia	YES
Ketobacter	YES
Kibdelosporangium	YES
Kordiimonas	YES
Kushneria	YES
Kutzneria	YES
Kyrpidia	YES
Labilithrix	YES
Labrenzia	YES
Labrys	YES
Laribacter	YES
Lautropia	YES
Legionella	YES
Leisingera	YES
Lentibacter	YES
Leptodesmis	YES
Leptolyngbya	YES
Leptospira	YES
Leptothrix	YES
Lichenihabitans	YES
Limimaricola	YES
Limnobacter	YES
Limnohabitans	YES
Limnospira	YES
Litorivicinus	YES
Loktanella	YES
Luteibacter	YES
Luteimonas	YES
Luteipulveratus	YES
Lysobacter	YES
Magnetococcus	YES
Magnetospira	YES
Magnetospirillum	YES
Mameliella	YES
Maricaulis	YES
Marichromatium	YES
Maricurvus	YES
Marilutibacter	YES
Marinibacterium	YES
Marinobacter	YES
Marinobacterium	YES
Marinovum	YES
Marivivens	YES
Massilia	YES
Megaera	YES
Melaminivora	YES
Melittangium	YES
Mesorhizobium	YES
Metabacillus	YES
Metapseudomonas	YES
Methylibium	YES
Methylobacterium	YES
Methylocaldum	YES
Methylocapsa	YES
Methyloceanibacter	YES
Methylocella	YES
Methylocystis	YES
Methyloligella	YES
Methylomagnum	YES
Methyloraptor	YES
Methylorubrum	YES
Methylosinus	YES
Methyloversatilis	YES
Methylovirgula	YES
Micavibrio	YES
Microcoleus	YES
Microcystis	YES
Microvenator	YES
Microvirga	YES
Microvirgula	YES
Midichloria	YES
Minicystis	YES
Modestobacter	YES
Moraxella	YES
Mycetohabitans	YES
Mycobacterium	YES
Mycobacteroides	YES
Mycolicibacterium	YES
Myxococcus	YES
Nakamurella	YES
Natranaerofaba	YES
Neisseria	YES
Neobacillus	YES
Neopusillimonas	YES
Neorhizobium	YES
Neotabrizicola	YES
Neptunomonas	YES
Nguyenibacter	YES
Niallia	YES
Nisaea	YES
