Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV	gtdb	kegg	uniprot	eggnog	ncbi	PhaC_status
Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophales	Omnitrophales	NA	16e2cbffb479bc76d926091a2dbe850c	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	NA	45f70421586edd3e60f3eb61e1e6bd30	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Family of Omnitrophales	Genus_of_Omnitrophales	NA	6caa6598b4d1ec577088c09f9b8a6165	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	RBG-13-54-9	RBG-13-54-9	NA	6eb9cc69a68fbddb1b19b7008211a9c1	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)	Absconditabacteriales_-SR1	NA	210b9d7105016e093353280e8c38545a	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	Candidatus_Woesebacteria	Candidatus_Woesebacteria	NA	bf9b84f7e9aeb978aa4ffa5674cdb067	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Parcubacteria	Parcubacteria	Parcubacteria	NA	a601b2301a6a2f7f4976a2b90e40773a	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Order of Parcubacteria	Family of Parcubacteria	Genus_of_Parcubacteria	NA	b3f42019cb26c7049be1193ed1a683b8	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria	NA	57329f7cac69c6f0f3a7a37732b83722	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria	NA	aa85eca6bc86e1b1bbc84114600b5dc1	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Gracilibacteria	Order of Gracilibacteria	Family of Gracilibacteria	Genus_of_Gracilibacteria	NA	10206b3d6b697b71ea2e1e188cb1b5c4	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	NA	d50687ef025101f2f9a2653fb5614ef4	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Class of Patescibacteria	Order of Patescibacteria	Family of Patescibacteria	Genus_of_Patescibacteria	NA	8e4512681fcf21af8e659d7f7884b905	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	NA	b58b4df2a0f4614fa29ea5acce8023fa	NA	NA	NA	NA	NA	Unknown
Bacteria	Dependentiae	Babeliae	Babeliales	Family of Babeliales	Genus_of_Babeliales	NA	571f0405ca7d93e5828ee238544073a5	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Cephaloticoccus	NA	9ca316e216a0571cd4e3f77b23ed250b	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	NA	c2c22d0bc4e2aff65edc0a38c0d7179b	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	IMCC26134	NA	12b3c9a455207dd4512b632b19be44a3	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Genus_of_Opitutaceae	NA	4f0e98d549210ee24d6c4f0a93d24120	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	NA	4073370e09a857355888ce6653dbd07d	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	NA	a1f7ea3a6bd1d6fcbaf3af6db0dd7f34	NA	NA	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Genus_of_Puniceicoccaceae	NA	cb2c499d2f0999e644c7308fb2687a7a	NA	NA	NA	NA	NA	Unknown
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	NA	b87209903eb6ae64afe0bc7fc099d877	NA	NA	NA	NA	NA	Unknown
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	NA	01eb892495890df5ed35ff5ece71bfce	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	NA	1f1ff56fd37c5c9b1a9ac7b1d99e10b0	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Family of Gaiellales	Genus_of_Gaiellales	NA	32871b61d067345d74e1ffe40166cf51	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Order of Acidimicrobiia	Family of Acidimicrobiia	Genus_of_Acidimicrobiia	NA	a02bdefc18cb796ec5d257085ec79ab2	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	NA	60e843cfe27b596782b923dc4f2314c1	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Family of Microtrichales	Genus_of_Microtrichales	NA	f5e6f6570d4b64e72a67be50cd411508	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	0c4d686b23bf73000ca0db32eb603f5e	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	NA	38187898e93b4d121d0b78087ac2e200	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Genus_of_Microtrichaceae	NA	b55fa9865ba9cb0a0bf7bb7da61dba11	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Candidatus_Microthrix	NA	6cdd8825591e67630201b81f5e8cc990	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	NA	c8be60b80c9247ddb0d159764d2065da	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Genus_of_Ilumatobacteraceae	NA	343639260e5a553a449c040a58953f9a	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA	349d6e0ff74f02b6d2d55d29a6084ea2	NA	NA	NA	YES	NA	YES
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	4c38a90091c94f1a94dc2b6727cd12a8	YES	YES	YES	YES	NA	YES
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	NA	1b28e750682e3841ffbb985865ef1c63	NA	NA	NA	YES	NA	YES
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	6589433bc08b7cdc5ea1e4928683ed00	NA	YES	NA	NA	NA	YES
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	NA	6c7a1a940865cb8fc19e17d404be6951	YES	YES	YES	YES	NA	YES
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	NA	9e19fe5f26182ef79fd6be2d49771f1a	YES	YES	YES	YES	NA	YES
Bacteria	Actinobacteriota	Actinobacteria	Order of Actinobacteria	Family of Actinobacteria	Genus_of_Actinobacteria	NA	9bc997e8ebea77d717faea18a7bf4708	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	NA	825192d92125f506d2e198a778b000bc	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	PeM15	PeM15	PeM15	NA	01c02b842479667d6a5d9455d322efd1	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Genus_of_Microbacteriaceae	NA	5adea97be7d61a174324b19e19ba1dea	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	NA	b6c98b10806b35c9ac8cc81eac01d891	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Family of Micrococcales	Genus_of_Micrococcales	NA	c447908864e76d6fec03a9299e05e7df	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Genus_of_Micrococcaceae	NA	091f0039f9699e2b582c467fb547c98d	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Genus_of_Intrasporangiaceae	NA	07246a1fc2c2fed9e54374f5ee46c333	NA	NA	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Tetrasphaera	NA	34483a2679dbc0e4e669c31464f95db6	NA	NA	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Turneriella	NA	73e450cfff6aaa8db939176dd897bb91	NA	NA	NA	NA	NA	Maybe
Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2	NA	a6c4fc9e5bd2b39967857b6d0a9dc2df	NA	NA	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Genus_of_Spirochaetaceae	NA	4503fe85390759f73578d3b9d3248c55	NA	NA	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Salinispira	NA	b5c8bb178ddc79caece76b292b320a75	NA	NA	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	NA	1adbfa6579a17a9e4870f0b81b373aed	NA	NA	NA	NA	NA	Unknown
Bacteria	Margulisbacteria	Margulisbacteria	Margulisbacteria	Margulisbacteria	Margulisbacteria	NA	16811faa7554abb4e20e928e8fff3eb8	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	NA	d516aed2d313c55632d2ef51fb6d470f	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	NA	3d01292536c84811794d53dbc82dea25	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Genus_of_Roseiflexaceae	NA	61de162decce2187c5428eda565cc967	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	OLB14	OLB14	OLB14	OLB14	NA	61420ce47fc0c347672e21558ca88df6	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	1-20	1-20	1-20	NA	bd85071f370c60352b40acc3f1faf166	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SJA-15	SJA-15	SJA-15	NA	e3cb476567ae02c1444706b1101d3251	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Genus_of_Caldilineaceae	NA	21303e01cd67416ee96438f8033c47ec	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	NA	4fe096577c607c3b89627e764dca0a42	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Genus_of_Anaerolineaceae	NA	ebae9eec89c38672dce4b8ed65be3ce3	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	UTCFX1	NA	4d078e2493f5643bbede2380f6e6e37d	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120	NA	edb1b7dc98830cdfb83ef9466ad4aaaa	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	NA	32effe3034bd1bf591d0fe065fc93c10	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Family of Ardenticatenales	Genus_of_Ardenticatenales	NA	8f4835821598417d87463a9aa47a5edb	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SBR1031	SBR1031	SBR1031	NA	201ac6844947f6bc51f3f165a3f75676	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Order of Anaerolineae	Family of Anaerolineae	Genus_of_Anaerolineae	NA	1b913619344bc9934b0d5848723ab302	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	C10-SB1A	C10-SB1A	C10-SB1A	NA	70e7d554f3597f22feba9ec19cac1ceb	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	OLB13	NA	1d1ecb4055dd91526be29b44442b25cc	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b	NA	cc6a06726c0b1eace010701e61e9e74a	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	NA	7a614de0a1968397b45e73327752a9ce	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722	AKYG1722	NA	37bc18b4165d4a69cc0c2fae707c97e9	NA	NA	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SBR1031	Family of SBR1031	Genus_of_SBR1031	NA	791518cd02219930d38d2be7cf81cc79	NA	NA	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	NA	bff84e21a60854da8669c123a3a65f80	NA	NA	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Elev-16S-1166	Elev-16S-1166	Elev-16S-1166	NA	645b170ce46798742f288fb8767eeff4	NA	NA	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Order of Acidobacteriae	Family of Acidobacteriae	Genus_of_Acidobacteriae	NA	7364df0dbcc5c40e719e30188f4acb3c	NA	NA	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	1c4494e0f5475fca09a4ebe7b1022a2a	NA	NA	NA	NA	NA	Unknown
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	NA	d65d76feee46d33d556f38a9186ac3d1	NA	NA	NA	NA	NA	Unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	94cb8b6fb586e9fe9607e3e52891c49a	NA	NA	NA	NA	NA	Maybe
