Kingdom	Phylum	Class	Order	Family	Genus	Species	gtdb	kegg	PhaC_status
Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)	Absconditabacteriales_-SR1	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Gracilibacteria	Order of Gracilibacteria	Family of Gracilibacteria	Genus_of_Gracilibacteria	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Order of Parcubacteria	Family of Parcubacteria	Genus_of_Parcubacteria	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	Gastranaerophilales	Gastranaerophilales	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	Vampirovibrionales	Vampirovibrionales	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Candidatus_Obscuribacter	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Obscuribacteraceae	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Cephaloticoccus	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Genus_of_Opitutaceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	IMCC26134	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Genus_of_Puniceicoccaceae	NA	NA	NA	Unknown
Bacteria	Fibrobacterota	Chitinivibrionia	Order of Chitinivibrionia	Family of Chitinivibrionia	Genus_of_Chitinivibrionia	NA	NA	NA	Unknown
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	NA	NA	Unknown
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Genus_of_Gemmatimonadaceae	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Genus_of_Spirochaetaceae	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Salinispira	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	NA	NA	NA	Unknown
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	NA	NA	NA	Unknown
Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	KD3-10	NA	NA	NA	Unknown
Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	OLB13	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Order of Acidobacteriae	Family of Acidobacteriae	Genus_of_Acidobacteriae	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Elev-16S-1166	Elev-16S-1166	Elev-16S-1166	NA	NA	NA	Unknown
