Genus	PhaC
Microthrix	NO
Trichococcus	NO
Phosphoribacter	NO
Fastidiosipila	NO
Ferruginibacter	NO
Lentimicrobium	NO
Opimibacter	NO
Fermentibacter	NO
CL500-29_marine_group	NO
Epiflobacter	NO
Rhodobacter	YES
Thauera	YES
BD1-7_clade	NO
Thermoanaerobaculum	NO
Brachybacter	NO
Terrimonas	NO
Rhodoferax	YES
Romboutsia	NO
DMER64	NO
Methanothrix	NO
Syntrophorhabdus	NO
Lutibacillus	NO
Nitrospira	NO
Propionicimonas	NO
Paracoccus	YES
Uliginosibacterium	NO
Christensenellaceae_R-7_group	NO
Rikenellaceae_RC9_gut_group	NO
Clostridium_sensu_stricto_1	NO
Defluviibacterium	NO
Brachythrix	NO
Caldatribacterium	NO
Terrisporobacter	NO
Leptothrix	YES
Lacihabitans	NO
Cloacimonas	NO
W5	NO
Ferribacterium	YES
Azonexus	YES
Sphingorhabdus	YES
Caldilinea	NO
Dietzia	NO
Defluviicoccus	YES
Propioniciclava	NO
Acetomicrobium	NO
W5053	NO
Ahniella	YES
Ruminococcus	NO
Epilinea	NO
Hyphomicrobium	YES
SM1A02	NO
Dokdonella	YES
Competibacter	NO
Leucobacter	NO
Lautropia	YES
Smithella	NO
Nitrosomonas	NO
Proteiniclasticum	NO
Marmoricola	NO
Stenotrophobacter	NO
Streptococcus	YES
Legionella	YES
Intestinibacter	NO
Defluviimonas	NO
Gordonia	YES
Methylorosula	NO
Proximibacter	NO
Defluviifilum	NO
JGI_0001001-H03	NO
Haliangium	NO
Promineofilum	NO
Vicinibacter	NO
Nitrotoga	NO
Rhodoplanes	YES
Methylophosphatis	NO
Hydrogenophaga	YES
Brooklawnia	NO
Syntrophus	NO
Acidibacter	NO
Geothrix	NO
Thermomonas	YES
Enterococcus	NO
Subgroup_10	NO
AAP99	NO
Haliscomenobacter	NO
Tetrasphaera	NO
Brevefilum	NO
Novosphingobium	YES
Aquabacterium	YES
Bradyrhizobium	YES
Pelotomaculum	NO
Ideonella	YES
Ellin6067	NO
Iamia	NO
Micropruina	NO
Tessaracoccus	NO
Propionivibrio	NO
Aestuariimicrobium	NO
Saccharofermentans	NO
Subdoligranulum	NO
Nocardioides	YES
Accumulibacter	YES
Denitratisoma	YES
Amarofilum	NO
Sphingopyxis	YES
Stella	YES
Coprothermobacter	NO
Limnohabitans	YES
Sarcinithrix	NO
Tabrizicola	YES
Piscinibacter	YES
Proteiniphilum	NO
p-1088-a5_gut_group	NO
Pirellula	NO
Leptovillus	NO
Villigracilis	NO
Ottowia	YES
Gemmobacter	YES
Thiothrix	YES
Omnitrophus	NO
Methanomethylovorans	NO
Thermovirga	NO
Caldicoprobacter	NO
P3OB-42	NO
Pachofilum	NO
Amarolinea	NO
Neomegalonema	NO
Lactococcus	NO
Phreatobacter	YES
IMCC26207	NO
Mycobacterium	YES
Comamonas	YES
Mesorhizobium	YES
Sphingobium	YES
alphaI_cluster	NO
Ruminiclostridium	NO
Amaricoccus	NO
Propionicicella	NO
Sedimentibacter	NO
Niabella	NO
Saccharimonas	NO
Sulfuritalea	YES
Amarobacter	NO
Syntrophobacter	NO
Proteiniborus	NO
Zoogloea	NO
Cereibacter	YES
Thermogutta	NO
Ramlibacter	YES
Afipia	YES
OM27_clade	NO
Leptolinea	NO
Diaphorobacter	YES
Aeromicrobium	YES
Contendobacter	NO
OM60NOR5_clade	NO
Devosia	NO
Methanoculleus	NO
Simplicispira	YES
Irregularibacter	NO
Blastocatella	NO
Dethiobacter	NO
Limnobacter	YES
Microlunatus	NO
Nannocystis	NO
Brachymonas	NO
Leptonema	NO
Pedomicrobium	NO
Phaeodactylibacter	NO
Pseudoxanthomonas	YES
JGI-0000079-D21	NO
Hahella	YES
Runella	NO
Phosphitivorax	NO
Ercella	NO
Syntrophaceticus	NO
SC103	NO
Phenylobacterium	YES
Ilumatobacter	NO
Flexicrinis	NO
Sumerlaea	NO
Petrimonas	NO
Acinetobacter	YES
Rickettsiella	NO
Rubrivivax	YES
Rubellimicrobium	NO
Steroidobacter	YES
Pseudoclavibacter	NO
Caenimonas	NO
Bryobacter	NO
Methanolinea	NO
Anaeromyxobacter	NO
Gallionella	NO
Tissierella	NO
Sterolibacterium	NO
OLB8	NO
Kouleothrix	NO
Gemmatimonas	NO
Flavobacterium	NO
Desulfobulbus	NO
Soleaferrea	NO
Arcobacter	NO
Azospira	YES
Sneathiella	YES
Alysiosphaera	NO
Peredibacter	NO
Anaerovorax	NO
Pseudorhodobacter	YES
Lewinella	NO
Microbacterium	NO
Leptospira	YES
Obscuribacter	NO
Amarobacillus	NO
Amphiplicatus	NO
Longivirga	NO
Halomonas	YES
OLB12	NO
Pseudarcobacter	NO
Chitinivorax	NO
SH-PL14	NO
Exilispira	NO
Falsirhodobacter	NO
Galbitalea	NO
Aquimonas	NO
Alysiella	NO
Acidovorax	YES
Gallicola	NO
Lachnospiraceae_AC2044_group	NO
Cryptanaerobacter	NO
Phaselicystis	NO
Rhizobacter	NO
Conexibacter	YES
Shuttleworthia	NO
Blastopirellula	NO
Avedoeria	NO
Planctopirus	NO
Altererythrobacter	YES
Methanosarcina	NO
Frigoribacterium	NO
IheB3-7	NO
Crocinitomix	NO
Pseudomonas	YES
Ignavibacterium	NO
Trichofilum	NO
Blvii28_wastewater-sludge_group	NO
Quadrisphaera	NO
Vitreoscilla	YES
Sandaracinus	YES
Pajaroellobacter	NO
Hadersleviella	NO
Aquamicrobium	NO
Pseudochelatococcus	NO
Luteococcus	NO
Georgfuchsia	NO
Agitococcus_lubricus_group	NO
Fredericiella	NO
Pir4_lineage	NO
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NO
Lacunisphaera	NO
Eubacterium_brachy_group	NO
Uruburuella	NO
Hungateiclostridium	NO
YC-ZSS-LKJ63	NO
Ovatusbacter	NO
Crenothrix	NO
Caulobacter	YES
Rhodopirellula	NO
Anaerosinus	NO
Lysinimonas	NO
Aminobacter	YES
Methanospirillum	NO
Shinella	YES
Prevotella	NO
Brevundimonas	YES
Paludibacter	NO
Sphaerotilus	YES
Geobacter	NO
Polymorphobacter	YES
Ribeiella	NO
SWB02	NO
KD3-10	NO
Herbinix	NO
Mesotoga	NO
Cytophaga_xylanolytica_group	NO
Proteocatella	NO
oc32	NO
Cloacibacterium	NO
Leptotrichia	NO
Ketobacter	YES
Parafilimonas	NO
Nakamurella	YES
Paraclostridium	NO
XBB1006	NO
Roseimarinus	NO
Lysobacter	YES
Methanobacterium	NO
Ruminococcus_torques_group	NO
Syntrophomonas	YES
Aetherobacter	NO
NK4A214_group	NO
Anaerolinea	NO
Roseobacter_clade_CHAB-I-5_lineage	NO
Pseudorhodoplanes	YES
Thioclava	YES
Amnipila	NO
Luteitalea	NO
Pedobacter	NO
Paeniclostridium	NO
Roseomonas	YES
C1-B045	NO
Corynebacterium	YES
Turicibacter	NO
Moorella	NO
Parvibacillus	NO
HN-HF0106	NO
Truepera	NO
Bauldia	NO
Jatrophihabitans	NO
Clostridium_sensu_stricto_12	NO
Arenimonas	NO
S50_wastewater-sludge_group	NO
Atopobium	NO
RBG-16-49-21	NO
Demequina	NO
Dialister	NO
Eubacterium	NO
Enhydrobacter	NO
Prosthecomicrobium	NO
Lachnospiraceae_NK4A136_group	NO
Lactivibrio	NO
Desulfitibacter	NO
Eubacterium_xylanophilum_group	NO
Pseudobacteroides	NO
Acholeplasma	NO
ADurb.Bin118	NO
Salana	NO
Labrys	YES
Macellibacteroides	NO
Kineosporia	NO
Pseudochrobactrum	NO
Lactobacillus	NO
Methanothermobacter	NO
UCG-002	NO
GWE2-42-42	NO
WCHB1-32	NO
Methylobacter	NO
Actinomyces	NO
UCG-012	NO
Fusibacter	NO
Dongia	NO
Reyranella	NO
Ruminofilibacter	NO
Luteimonas	YES
Piscicoccus	NO
Acetivibrio	NO
Rhodopseudomonas	YES
Acidaminococcus	NO
Pseudaminobacter	NO
Methylotenera	NO
Cellvibrio	NO
Turneriella	NO
Georgenia	NO
Mogibacterium	NO
Thiobacillus	NO
Anaerostipes	NO
Gemmata	NO
Tsukamurella	YES
Bdellovibrio	NO
Acetobacterium	NO
Paracaedibacter	NO
Hyphomonas	YES
Cellulomonas	NO
Rhodococcus	YES
Polaromonas	YES
Treponema	NO
Fusicatenibacter	NO
Methylocystis	YES
Tepidiphilus	NO
Planctomicrobium	NO
Labilithrix	YES
Aeromonas	YES
Aurantisolimonas	NO
Dorea	NO
Fluviicola	NO
Cellulosilyticum	NO
Kaistia	YES
Halioglobus	YES
Psychrobacter	YES
Papillibacter	NO
Sva0996_marine_group	NO
SH3-11	NO
Ralstonia	YES
Flexifilum	NO
Bythopirellula	YES
Roseovarius	YES
Leifsonia	NO
CL500-3	NO
Keratinibaculum	NO
Bosea	YES
Lachnospiraceae_UCG-004	NO
Sarcina	NO
Leuconostoc	NO
CM1G08	NO
Desulforudis	NO
Polynucleobacter	YES
Herpetosiphon	NO
Cephaloticoccus	NO
Hirschia	YES
Salinispira	NO
Sulfurovum	NO
Agathobacter	NO
Aliterella	NO
Pseudolabrys	YES
Persicitalea	NO
TM7a	NO
Laribacter	YES
Rivibacter	NO
Bacteroides	NO
Thermanaerovibrio	NO
Chryseobacterium	NO
Roseburia	NO
Aridibacter	NO
Nostocoida	NO
