LABELS	
SEPARATOR TAB	
DATA	
36a69e736a69599990b961ca3125eb6b	Absconditabacteriales_(SR1)
10206b3d6b697b71ea2e1e188cb1b5c4	Genus of Gracilibacteria
4deedbdd44495025f13bbbe3797fa0e4	Candidatus_Nomurabacteria
b3f42019cb26c7049be1193ed1a683b8	Genus of Parcubacteria
57329f7cac69c6f0f3a7a37732b83722	Candidatus_Moranbacteria
d50687ef025101f2f9a2653fb5614ef4	Gracilibacteria
b993048ab07c65d45baad4a911770e0c	Gastranaerophilales
9a145f82ade2d5e7bb3aded9ec55404a	Vampirovibrionales
ab32b4080a1e382c24e79a7fc313a974	Candidatus_Obscuribacter
b7d88c9165511aed2e13b9888be70ea5	Obscuribacteraceae
b58b4df2a0f4614fa29ea5acce8023fa	Saccharimonadales
4073370e09a857355888ce6653dbd07d	Lacunisphaera
74b6e948327d039c4d5f7e5ab1c1bfb0	Cephaloticoccus
4f0e98d549210ee24d6c4f0a93d24120	Genus of Opitutaceae
db322ead8586a1eaa3f9066527a6b548	IMCC26134
c2c22d0bc4e2aff65edc0a38c0d7179b	Opitutus
cb2c499d2f0999e644c7308fb2687a7a	Genus of Puniceicoccaceae
001683922df91b55618368b11d0658bf	Genus of Chitinivibrionia
42f944a6dd553cdc9a70e8efd40da87e	Gemmatimonas
db6bc87d2d3e3876a08e403d3c04126c	Genus of Gemmatimonadaceae
a6c4fc9e5bd2b39967857b6d0a9dc2df	Spirochaeta_2
4503fe85390759f73578d3b9d3248c55	Genus of Spirochaetaceae
b5c8bb178ddc79caece76b292b320a75	Salinispira
1adbfa6579a17a9e4870f0b81b373aed	Berkelbacteria
87bdf8daa282f711b53d995c681cc965	Cetobacterium
7727eae386d6fc788ae6479c3bc5eeb7	KD3-10
4563230eb3c59adc41628f37deb260dd	Nitrospira
7a614de0a1968397b45e73327752a9ce	JG30-KF-CM45
d516aed2d313c55632d2ef51fb6d470f	Herpetosiphon
cc6a06726c0b1eace010701e61e9e74a	A4b
ee256e3a065bba571ae4426a028546c6	OLB13
7364df0dbcc5c40e719e30188f4acb3c	Genus of Acidobacteriae
645b170ce46798742f288fb8767eeff4	Elev-16S-1166
29c272ec651069bdbd7b36dfb53971ce	Paludibaculum
1c4494e0f5475fca09a4ebe7b1022a2a	Bryobacter
bf54b9da1998e72476be9399198b27b9	0319-6G20
db24a3d2ba40ee5bfc209d0e879d74ba	PB19
fa1e619328bfc863afe951daebb2e0e5	Blfdi19
6e27628569f8e7707b0449af6ab375aa	Bradymonadales
6d30cb316be46d827db8afd0db805778	Minicystis
640adb7b4eab70cb0f9fc9a08413e32a	Genus of Polyangiaceae
dd82df0cd51d00b89aa67db1c925f0a8	BIrii41
101531749f68caed062b72c21bb6e7aa	Pajaroellobacter
f146489e1197c98baa87c1aa081f74f4	Phaselicystis
20b247c1ce0b6ab003023d40bafffe44	Sandaracinus
85ad19d4ede2e9574b85978985789273	Genus of Sandaracinaceae
dde50b3eb9f1330cf167357a70b4d9f1	mle1-27
fc45409b44ea6b0802d29fe35beaac92	Anaeromyxobacter
8a80fac7aa5a2016f93a0028dbc4cfaf	Genus of Myxococcaceae
bf72430cafb86e614ccd11512f101d09	P3OB-42
6ca02f586cde622ffe0026986100f29c	SAR324_clade(Marine_group_B)
908a9a9637fe2f04b2f2dd7210e0ee2e	Geobacter
c1d01b4e03f5707e1d0a6c078ae653e6	Desulfobacter
0604ff983f743cd227878283d3707544	Desulforegula
0ca532bd9bbc4b0185db8c7a1bae990c	Haliangium
cc117ceffa901718a30a56aef66fea38	Genus of Nannocystaceae
a2b799a1792e8ff354297cc8bdc41b72	Nannocystis
e5585aab346e51acbee0259c56748b29	OM27_clade
cb0ccd21c793b49ece525957c7a68183	Genus of Micavibrionales
7ccfbddc21dbf8aacccca6f7f5a4801b	NB1-j
dfc11c6c8fbfcd9f4b7ae9ec827d4607	Bdellovibrio
912af8758fbddda0357ed9db067660bc	Desulfomicrobium
0a7857ee77d8a7f475e6f7e62f5e977e	Genus of Oligoflexales
7101e27115cf0133c52240df1613eaf4	Pseudarcobacter
ea5c863b50138cb90de4e9a925226893	Peredibacter
47fc6c229b91d8779b6b62513f644c55	Bacteriovorax
7774ee05347566fafc8c6000570e4564	Genus of Bacteriovoracaceae
157b5439ce143f15ae76cd8cf5e992d6	SM2D12
183415272c43e58c01bf500eb1a95d3d	Genus of Rickettsiaceae
5967312c02cc7fc3ae8fcea588990255	Genus of Rhodospirillales
cbae13c9ef038b129d1877983aadcfeb	Genus of Micavibrionaceae
75316c86cf649874bf8fb619f30e3fae	Candidatus_Paracaedibacter
c90bce095cf690ccdc3f0fdc846d753d	Genus of Alphaproteobacteria
49623e379fafc105613a40e0380e3efb	Genus of Paracaedibacteraceae
fd8ffaef16bcdc1428574ee38eebf2b4	A0839
6cb5d7bfd07f568a92d7c24f5baff454	Reyranella
fe9717c4f02cd9c01e3913d2dd9fbe52	Genus of Rhodospirillaceae
c33bd9a6050c863947443031a90aec66	Genus of Micropepsaceae
d7c31e9b3d6ae97fc8d70f7ca007224c	Roseomonas
7a2eb77d6856e84351f5add2f94f2db8	Genus of Acetobacteraceae
aca2c23d826056b1fc6147370b02db1d	Stella
1670ecb15d98c91ff84dfc95d41411a5	Dongia
becdd218566c47a9a2f7468beaf0f619	Genus of Holosporaceae
cad9d2ea99fbd8ce800f5ab5833f4ebe	Caedibacter
0c3208483c84d0941ffe87ef35d58ff4	AB1
275816a5653d02c806e5648a3e3b9941	Magnetospirillum
9d375b7b3eef8bbf482900574cf51302	Sphingobium
b5bbe70bfd28bdb7ee418fa8ad6da5ed	Rhizorhapis
38442ea992046ee11cba87f410501454	Genus of Sphingomonadaceae
7b17011021da73d31153d8ac63b97252	Sphingopyxis
d1a8e0207bad778b52c2b07902fb06c1	Novosphingobium
05c81b7f33505e46d8a0e27bf521d5bc	Sphingosinicella
043349bc446531c3f2d04cc20bfc3710	Sphingomonas
84db0e7fc6a0c4ffbdc54b958cf9c970	Hyphomicrobium
c0dedafe230fa95d12306f9cda4f57f9	Pedomicrobium
3effc62c960bcf7508c49303cd983f41	Rhizobiaceae
d0c7a1aa8f4780ba970f5b66350786e7	Mesorhizobium
677390c107b389402837731d35adf843	Genus of Rhizobiaceae
6dd674961fe2cf03c028828b546abbf3	Devosia
07f2aab095dfebba454dd3b0dcc09d17	Amaricoccus
de438d19eeae901fd994cebc5d999ba7	Gemmobacter
65c6da7422ef78bdd3c85c39f94c622d	Genus of Rhodobacteraceae
86cffef2dd72a3704a2b0fe1b6679250	Paracoccus
d10658e04f1ebe37002fb41b19839cf0	Defluviimonas
0ed65c0620a78d0a6398d1e743523dfe	Novispirillum
085162ae445a1c4c6645c73d873b53c6	Hyphomonas
1328f2af927d8153def1e7435de877df	Hirschia
c805434e1da65e52b1c1e9725bbf0b72	UKL13-1
fdb85103ef307059c65044f4386f525b	SWB02
f83e5102a5a0dda3ba9eea7a3f59e1a6	Shinella
6c73a91875a7f4ecdca45281663774d4	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
2c666f8ab7955d6d4ae3d0b1ea8a9686	Genus of Rhizobiales_Incertae_Sedis
46973e31776449afb808a2cc0c3f724e	Brevundimonas
bb6e3547a3247f9f94bccaeef1165d10	Genus of Caulobacteraceae
e8a29dd3017c93d387bdcea1a6ce03da	Caulobacter
c4e6a6ca5701ddd9770216f0440ac51d	Phenylobacterium
3637dcd02ae0e0798111ff516d295272	Bosea
058f667c64e3fa91a80b1eb6f70c3ff7	Genus of Beijerinckiaceae
eb9ea2b44101eb9db0071359034323b4	alphaI_cluster
f52774e6ef3135d0781da217a3331b67	Phreatobacter
295e7fa7a97a72537c328db6564fb092	Genus of Pleomorphomonadaceae
ed265313cfb771b852d8675f75739704	Prosthecomicrobium
8fce628f5f957f5c7036c4f97eab142d	Genus of Xanthobacteraceae
34672c0168f836ac051b7595ba488d7c	Bradyrhizobium
776733e9aab4ea6e54f22dbf2ecfe577	Afipia
a712106b1264be65135bf7398961d071	Genus of Rhizobiales
2df3589b38096be4a508338c85a78c97	053A03-B-DI-P58
9599c13020a9798766f19fbaa6744d03	Candidatus_Megaira
7854b8368b2f7f6d33a595b3ead6d895	Desulfobulbus
e20454b2fd6593f570ae3f3ae8f8f0f3	Tetrasphaera
80d6550b3db81a14ad153c5d62f8884d	Genus of Intrasporangiaceae
a0e815bbc2456bba178005b7d28be07b	Genus of Microbacteriaceae
c447908864e76d6fec03a9299e05e7df	Genus of Micrococcales
9e19fe5f26182ef79fd6be2d49771f1a	Gordonia
18cd14200a3c2bd8d82494517d4c786d	Mycobacterium
01c02b842479667d6a5d9455d322efd1	PeM15
ec411b69ced9c245430387cbcc504f79	Genus of Actinobacteria
825192d92125f506d2e198a778b000bc	Longivirga
7ceb317424c2fc2ee40a431603fd582f	Nocardioides
723c0748c1c86c1998bc9a32b918a577	Marmoricola
c8be60b80c9247ddb0d159764d2065da	CL500-29_marine_group
b05e2a29405a3ac7e29a09766eac4727	Candidatus_Microthrix
b55fa9865ba9cb0a0bf7bb7da61dba11	Genus of Microtrichaceae
60e843cfe27b596782b923dc4f2314c1	IMCC26256
26ec3ceb15e9a1e787f4b4f363de678b	Iamia
38187898e93b4d121d0b78087ac2e200	IMCC26207
a02bdefc18cb796ec5d257085ec79ab2	Genus of Acidimicrobiia
32871b61d067345d74e1ffe40166cf51	Genus of Gaiellales
0e573153a0e642d3a51ce657cdc096e6	Subgroup_10
19426bd2334c5cd8bbd2718525f63f30	Subgroup_7
987954a6e5fb725b5e7d52ad9ac20491	Geothrix
4b1c92f2f79ae110cfd81fede49c0f56	Holophagaceae
618f8dfa32e2278badba12e17453b311	Holophaga
cb1e484ee0c0be4e854b53dac3ae58d9	Genus of Holophagaceae
16811faa7554abb4e20e928e8fff3eb8	Margulisbacteria
45b29c57b9f166e67685c5379120dbcf	Proteiniclasticum
95d09d4116afe038358b8fc5d58d76c3	Clostridium_sensu_stricto_1
b66b9a4f948f41e942d0791ebf42217f	Clostridium_sensu_stricto_7
a98fbccadd4abe4b3aefed85f3a84af3	Ruminococcus
3e601acd532a05d8be3ce33e6031d662	WPS-2
ffd0eeaeb49e1d310aa678448b1d68ca	Sedimentibacter
514cd87004891bd6536451a2824ab60d	Acetoanaerobium
54cf6d784a6f97a5e14ca57ab718f7ba	Anaerovorax
757fd4436011b0d485fd2538064cdb29	Acidaminobacter
b4938942efb49f1408aea67bc00a2e77	Fusibacter
b2ccfae5c7ecf6935232dbc0ddea733f	Romboutsia
354c101c76a90b6332da2e8a9b163893	Proteocatella
0dd254ff4270d5643f148d844372a5b1	XBB1006
eecd1f012806732b58ce626736d95f78	Taonella
624e2e39b42fead9941537189b01430b	Sericytochromatia
f3667adde8ded967d4d88b798e52beef	Acidaminococcus
d72b5beb4e82f6a2686e4d76f3d780f8	Genus of Acidaminococcaceae
f7e96d3a9d05e3ad588970fa33fca39c	Veillonella
95a56623b9aa8935a00dbc713569a5ce	Streptococcus
b9589dea943a6f68bdc6992511285631	Trichococcus
37f9665c68adb8377d554a09e739116d	Genus of Lactobacillales
14157bc4e39b53398340eff3ef2585b6	Lysinibacillus
e7f6a56d677cc373631db5f4b2e53b3e	Bacillus
e039d8732b0f07657333be05e9c151ee	Brevibacillus
653b64e9ba3ce16016c6f7e6f89eca12	RF39
bc375b3e6d7556ba7da6ff897f744f30	Erysipelothrix
8470b9ce4747c8dd4cbb091748b443ee	MVP-88
edd580ab092336d8b4b47cd295acf2be	Sumerlaea
674d2c9c867dc8098a35da789e161777	FCPU426
a0c5014cf903410d067fa1c6cbe6cd7d	DS-100
4474fdef6ec3ea65798a29a98c0c3e7f	11-24
bb10c687266baad080f4ab10d875f9a0	Blastocatella
09db1735a7dea59aa8cc73923df1d14d	JGI_0001001-H03
c70fdb4a57964384a27bcee193752ee3	Genus of Blastocatellaceae
85f360d52e3784e56bb1fbfbf03e178f	WCHB1-41
a92ed55cfee3bd5e0644e21b3d46304b	MSBL3
17110f3ab3c643fb0377d404443f2166	DEV007
adb06dc47f8ef3564057879baef243c4	Luteolibacter
43df959ca2cb06d61e6c690a52d13454	Genus of Verrucomicrobiaceae
76acd925226d2f76a904867bb2696697	Prosthecobacter
7e005f73d07fe6da8a74e400288353eb	Brevifollis
45ef937cd47c753f5ae5c94377cbc3df	Chthoniobacter
4ab0104bfddbed44c08ad78feabf932c	SH3-11
e17718f2c1078d5a6346cb2645786aac	DEV114
7623cf6ee001c41c0ce68fb31fcbca23	Oikopleura
caf1938a8e6c33fb48681b1dacb42d81	DEV008
9625aa3cd3f9f1882eed732b3e6f9b28	Genus of Pedosphaeraceae
1eba4184d1c95031ff37956699cc9623	Pedosphaeraceae
8525ff5be1d4dd8ff9926ab83b84e048	ADurb.Bin063-1
6f57db7a9819ebf0013a776cfd14b38a	vadinHA49
bc960fe0c299eb1ef3b605948fd66415	Pla1_lineage
2763d6220a25a22917a37778402e9c5b	CPla-3_termite_group
1969eccbff136c56727be3bf6f80e17a	Tepidisphaeraceae
4d6c0ba2be5780f7eaa06f20f8d6e9fa	SM1A02
6b932b50ef54a43454069912c2f23cfb	CL500-3
5ee16c343908adbbc970adae6c51b12e	Genus of Planctomycetota
584ac72bbed85eac3ba64ddf6d129ae5	BD7-11
28d45880ade034c504a5362ba9713120	OM190
6de8858711d580c90212baef6a685d99	028H05-P-BN-P5
4cd6fdf553d0cd57697632fdcd3ddf93	Genus of Pirellulaceae
5f07527bb58437a3f043a441b0a23f1c	Rhodopirellula
972b2e565c5df451f719e59ac7be309f	Pirellula
756476deba68c7657d2d26b168032b25	Pir4_lineage
ade3ef47a0aa787ffc418e5f9b7da41d	Planctopirus
cc856270b3336f44c987995a0026d895	Genus of Planctomycetales
8dba41bb755489eb3b1f80374b0144d6	SH-PL14
09ace7a7675f29a23a834f2853b2aa3f	Genus of Rubinisphaeraceae
6eba22846acf8071bca15cbfd4e80cfc	Fimbriiglobus
627812b43c80b6e8906b188d62fc44b0	Genus of Gemmataceae
475fbbfb16a231a5f11358198be606cf	Subgroup_17
fadc4395a1feca2cbb2469126661608a	Genus of Vicinamibacterales
371d0e4ae4c57ab4af99e6f1b744f472	Genus of Vicinamibacteraceae
5f194f89cf69c3c56552e6c0f2f20829	Vicinamibacteraceae
a2bed4472791e7caca7bcf53b89c7f8b	Hydrogenedensaceae
f1af8ece3d054f8b49beed6ef2d64a8f	Latescibacterota
56fdae2fb8bc5297b4dfd65d340d8e81	RBG-13-54-9
4fe096577c607c3b89627e764dca0a42	Leptolinea
3c97c14381fc0e799aa14454f6b58e0b	Genus of Anaerolineaceae
24747ef60e6fff2e76284d452747eb66	Anaerolinea
201ac6844947f6bc51f3f165a3f75676	SBR1031
3c021e5eb36362935f9fb70db383bebf	Genus of SBR1031
4d204bc7bc0d91418b5a272480253329	Genus of Ardenticatenales
61420ce47fc0c347672e21558ca88df6	OLB14
bd85071f370c60352b40acc3f1faf166	1-20
fe05a86032e893a99fcfbab0f62ce29d	Genus of Caldilineaceae
d7a115d8c4790103a9c0ba6a1570f517	C10-SB1A
d65d76feee46d33d556f38a9186ac3d1	Fimbriimonadaceae
e418a926f617601ab7e571f624348858	Kouleothrix
61de162decce2187c5428eda565cc967	Genus of Roseiflexaceae
7b98e18a045a28e4e020c8b225ae3309	SJA-28
31106ea427b2c9d2574a7cf785fc1112	BSV26
a1a828e0d9dbec859369c528ba5fd60c	IheB3-7
a6d3ca536757f390d6a271894f721527	Ignavibacterium
9ada079d43ae7654ac7b762073ed81a7	SR-FBR-L83
5541da7d350ad207f7b18e04e9000572	PHOS-HE36
c2ca170d7c7d47a1d67896ee48a8e868	Kapabacteriales
a20bd12ef56306e2dc6629273a682b89	Genus of Rhodothermaceae
e1e596b47f90f0bf2caa27b96a0c146f	Lacihabitans
ef15fca11ed3bc97e40671dd550df8cd	Genus of Microscillaceae
69aa4b7d0daf12ba7317160ac9d755a6	Genus of Cytophagales
4f0673d917715cafd2bb0648a719aed8	Runella
4730b4bf69430e240bd81db104feb29f	Chryseolinea
4ad20f1787fa634453827f301f25d22f	OLB12
6043b1af3a77487bab99d38cae37a495	Cytophaga
02630e99b398c4c31a529ca14e0b1199	Rikenellaceae
025235e015ef1123612209488c4196a6	Genus of Rikenellaceae
e49a7527b7f3578ac15b8041b9b7b22c	Blvii28_wastewater-sludge_group
f9c00d77739dd4b915338a767ec6ea73	Williamwhitmania
de0951a033a40cd30472ff541cc4f323	Macellibacteroides
3e330d3f751896e335bc8008336264a1	Bacteroides
