Genus	nr_genomes
Escherichia	45532
Klebsiella	28408
Staphylococcus	24405
Salmonella	17457
Pseudomonas	19457
Acinetobacter	14084
Streptococcus	21852
Mycobacterium	11924
Enterococcus	10619
Clostridioides	3595
Enterobacter	7407
Listeria	6037
Vibrio	8462
Neisseria	4483
Burkholderia	5484
Phocaeicola	3031
Proteus	1657
Citrobacter	2802
Bordetella	1482
Brucella	1582
Lactiplantibacillus	1378
UBA7173	2810
Bacillus	10181
Wolbachia	1478
Muribaculum	2485
Akkermansia	1824
Ligilactobacillus	1709
Legionella	1300
Bacteroides	7226
Alistipes	5978
Cryptobacteroides	3603
Francisella	1109
Sarcina	959
Lepagella	4507
Duncaniella	3475
Yersinia	1750
Bifidobacterium	4417
Parabacteroides	2129
CAG-873	5411
Serratia	2291
Paramuribaculum	3448
Lactobacillus	3778
Helicobacter	3962
Prevotella	7818
Lactococcus	1534
Cronobacter	854
UBA3263	638
Xanthomonas	3245
Pasteurella	567
Aeromonas	1912
Lacticaseibacillus	1082
Cutibacterium	741
Stenotrophomonas	2009
Stutzerimonas	1217
Taurinivorans	653
Haemophilus	1441
Kineothrix	1068
Corynebacterium	2677
Mucispirillum	565
Odoribacter	967
Agathobacter	925
Bovifimicola	478
Faecalibaculum	431
Leptospira	940
Butyribacter	953
UBA3282	2989
COE1	2937
Mannheimia	378
RGIG4057	471
Suilimivivens	1343
Pelethenecus	502
Leclercia	442
Pantoea	1223
Morganella	400
Acetatifactor	2572
Sinorhizobium	477
Pediococcus	553
Mycoplasmopsis	599
Agrobacterium	1078
Mycoplasmoides	361
Limosilactobacillus	1679
Flavobacterium	1891
Leuconostoc	674
Turicimonas	281
Ralstonia	777
Providencia	1101
Aliarcobacter	503
Hominiventricola	784
Erwinia	525
Alloprevotella	1183
Micrococcus	289
Glaesserella	261
Oenococcus	262
Fusicatenibacter	343
Streptomyces	6193
Ruminococcoides	1066
Hominimerdicola	353
Clostridium	3066
Petralouisia	976
Mammaliicoccus	644
Xylella	258
Shewanella	830
Gemmiger	766
RACS-045	470
Turicibacter	322
Rhodophyticola	224
Moraxella	485
Borreliella	507
Coproplasma	1793
Priestia	581
Faecalibacterium	1245
Chlamydia	310
Elizabethkingia	353
Rhizobium	1517
Gallimonas	878
51-20	257
Enterousia	698
Mediterraneibacter	678
Culturomica	381
Parasutterella	455
Anaerotruncus	299
Granulimonas	177
Levilactobacillus	248
Eggerthella	186
Thomasclavelia	364
CAG-177	388
Sodaliphilus	593
Anaerostipes	321
1XD8-76	342
CAG-115	423
Fimenecus	458
Flavonifractor	231
Aggregatibacter	282
Treponema	1360
Riemerella	282
Alteromonas	465
Achromobacter	547
Amulumruptor	284
MD308	315
Bariatricus	214
RGIG8773	290
Fusobacterium	795
Pelethomonas	790
Phascolarctobacterium	445
Enterenecus	734
Coxiella	167
UBA11524	194
Hominicoprocola	502
Succinivibrio	314
MGBC122484	382
Lachnospira	654
Brachyspira	346
CAG-582	224
Comamonas	632
Acutalibacter	537
Faecalibacillus	214
Bradyrhizobium	1389
CAG-217	151
Lentilitoribacter	171
Parasphingorhabdus	310
Porcipelethomonas	216
Weissella	471
Ruthenibacterium	295
Caccovicinus	386
Oscillibacter	1112
Avidehalobacter	165
Clavibacter	201
CAG-349	153
Kingella	220
Atlantibacter	172
Otoolea	415
Barnesiella	223
Limisoma	237
CAJUPY01	155
Agathobaculum	270
Wujia	262
Enterocloster	615
Phytoplasma	233
Mesorhizobium	1430
Vescimonas	914
Roseburia	1399
Nonlabens	174
MGBC161649	126
UBA3402	479
MGBC100798	312
Pectobacterium	625
Avelusimicrobium	307
Latilactobacillus	232
Angelakisella	392
Leptogranulimonas	123
Desulfovibrio	614
Porphyromonas	786
Peribacillus	224
Dubosiella	323
Salinibacter	134
