"","sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"1","Almere2","Almere1",0,0.72435,0,0.27565,0
"2","Almere3","Almere1",0,0.72435,0,0.27565,0
"3","Almere4","Almere1",0,0.72435,0,0.27565,0
"4","Almere5","Almere1",0,0.72435,0,0.27565,0
"5","Bath1","Almere1",0.7427,0,0.2573,0,0
"6","Bath2","Almere1",0.7427,0,0.2573,0,0
"7","Bath3","Almere1",0.7427,0,0.2573,0,0
"8","Bath4","Almere1",0.7427,0,0.2573,0,0
"9","Bath5","Almere1",0.7427,0,0.2573,0,0
"10","Almere3","Almere2",0,0.72435,0,0.27565,0
"11","Almere4","Almere2",0,0.72435,0,0.27565,0
"12","Almere5","Almere2",0,0.72435,0,0.27565,0
"13","Bath1","Almere2",0.7427,0,0.2573,0,0
"14","Bath2","Almere2",0.7427,0,0.2573,0,0
"15","Bath3","Almere2",0.7427,0,0.2573,0,0
"16","Bath4","Almere2",0.7427,0,0.2573,0,0
"17","Bath5","Almere2",0.7427,0,0.2573,0,0
"18","Almere4","Almere3",0,0.72435,0,0.27565,0
"19","Almere5","Almere3",0,0.72435,0,0.27565,0
"20","Bath1","Almere3",0.7427,0,0.167425,0,0.089875
"21","Bath2","Almere3",0.7427,0,0.2573,0,0
"22","Bath3","Almere3",0.7427,0,0.2573,0,0
"23","Bath4","Almere3",0.7427,0,0.2573,0,0
"24","Bath5","Almere3",0.7427,0,0.2573,0,0
"25","Almere5","Almere4",0,0.72435,0,0.27565,0
"26","Bath1","Almere4",0.7427,0,0.2573,0,0
"27","Bath2","Almere4",0.7427,0,0.2573,0,0
"28","Bath3","Almere4",0.7427,0,0.2573,0,0
"29","Bath4","Almere4",0.7427,0,0.2573,0,0
"30","Bath5","Almere4",0.7427,0,0.2573,0,0
"31","Bath1","Almere5",0.7427,0,0.2573,0,0
"32","Bath2","Almere5",0.7427,0,0.2573,0,0
"33","Bath3","Almere5",0.7427,0,0.2573,0,0
"34","Bath4","Almere5",0.7427,0,0.2573,0,0
"35","Bath5","Almere5",0.7427,0,0.2573,0,0
"36","Bath2","Bath1",0.124,0.2659,0,0.6101,0
"37","Bath3","Bath1",0.124,0.2659,0,0.6101,0
"38","Bath4","Bath1",0.124,0.2659,0,0.6101,0
"39","Bath5","Bath1",0.124,0.2659,0,0.6101,0
"40","Bath3","Bath2",0.124,0.2659,0,0.6101,0
"41","Bath4","Bath2",0.124,0.2659,0,0.6101,0
"42","Bath5","Bath2",0.124,0.2659,0,0.6101,0
"43","Bath4","Bath3",0.124,0.2659,0,0.6101,0
"44","Bath5","Bath3",0.124,0.2659,0,0.6101,0
"45","Bath5","Bath4",0.124,0.2659,0,0.6101,0
